Size;FromRedis(µs)
256x256;1481
1024x1024;17133
2048x2048;81663
512x512;4649
512x512;1266
1024x1024;13546
256x256;2976
128x128;144
2048x2048;77395
512x512;3884
128x128;140
512x512;1652
128x128;165
256x256;542
512x512;2343
128x128;156
128x128;153
256x256;531
1024x1024;12325
512x512;5925
512x512;1342
2048x2048;77426
512x512;3892
1024x1024;13020
512x512;5075
256x256;299
2048x2048;76589
2048x2048;74541
512x512;4264
128x128;176
512x512;1264
512x512;1428
512x512;1165
256x256;314
256x256;274
256x256;265
1024x1024;13379
256x256;2917
1024x1024;14806
512x512;5880
256x256;377
128x128;244
256x256;314
2048x2048;77641
512x512;4153
1024x1024;11249
256x256;2730
512x512;2864
128x128;298
1024x1024;13971
512x512;6774
1024x1024;14099
1024x1024;18806
2048x2048;85146
512x512;3641
128x128;217
2048x2048;74418
512x512;3346
128x128;3242
128x128;156
256x256;495
128x128;615
1024x1024;10837
1024x1024;19001
2048x2048;82150
1024x1024;14489
512x512;6370
256x256;550
256x256;341
1024x1024;13967
1024x1024;17962
256x256;2770
256x256;663
512x512;3537
2048x2048;75974
512x512;4869
128x128;298
1024x1024;12831
1024x1024;22733
256x256;2488
512x512;2741
128x128;104
1024x1024;14088
256x256;2621
256x256;360
128x128;117
128x128;136
128x128;100
128x128;183
1024x1024;15944
2048x2048;90322
512x512;5952
512x512;1218
512x512;1785
512x512;918
128x128;425
1024x1024;13667
256x256;3563
1024x1024;17574
512x512;5327
256x256;315
1024x1024;14434
1024x1024;18917
512x512;5770
256x256;412
256x256;303
256x256;322
512x512;2644
2048x2048;81006
2048x2048;77264
1024x1024;14910
256x256;3222
256x256;478
128x128;129
512x512;3833
128x128;149
1024x1024;17477
1024x1024;19049
256x256;2883
256x256;389
1024x1024;15644
2048x2048;82074
512x512;5588
256x256;322
256x256;309
1024x1024;12703
1024x1024;17717
256x256;3118
2048x2048;79393
2048x2048;80892
512x512;4521
1024x1024;13954
256x256;2864
256x256;315
1024x1024;16187
256x256;1002
1024x1024;12258
256x256;3096
2048x2048;79265
1024x1024;15960
1024x1024;18312
1024x1024;18189
1024x1024;18433
1024x1024;17734
256x256;3065
2048x2048;83022
512x512;4537
128x128;170
2048x2048;73033
1024x1024;15751
512x512;5001
512x512;1216
2048x2048;81555
1024x1024;13914
512x512;6311
2048x2048;77730
512x512;4007
512x512;1041
256x256;349
2048x2048;71827
1024x1024;14245
2048x2048;82505
512x512;5330
2048x2048;83466
1024x1024;13718
256x256;2759
512x512;2643
128x128;256
1024x1024;14758
1024x1024;19024
2048x2048;83873
1024x1024;13909
1024x1024;19733
2048x2048;82938
512x512;5091
512x512;1132
128x128;198
2048x2048;73955
512x512;5048
256x256;316
128x128;110
2048x2048;90311
2048x2048;77654
1024x1024;16380
1024x1024;18832
2048x2048;81250
1024x1024;13831
512x512;5479
512x512;1154
2048x2048;77335
1024x1024;14628
1024x1024;17876
256x256;3279
2048x2048;82442
1024x1024;15220
256x256;3560
1024x1024;16038
2048x2048;84686
512x512;5503
1024x1024;11310
2048x2048;81201
1024x1024;16604
2048x2048;87237
1024x1024;15446
2048x2048;93450
1024x1024;14591
256x256;4100
128x128;159
2048x2048;82905
2048x2048;76236
2048x2048;78456
1024x1024;15471
256x256;3295
2048x2048;76097
2048x2048;79375
512x512;4639
512x512;971
128x128;171
1024x1024;12781
1024x1024;17732
256x256;3801
1024x1024;16302
1024x1024;18600
1024x1024;18460
512x512;5192
256x256;309
128x128;274
256x256;304
256x256;320
